Id	Desc	BattleType	AIType	CombatRange	TriggerEscapeNum	EscapeMinLength	EscapeMaxLength	DodgeMinActivateTime	DodgeContineTime	AimOffsetAngle_01	AimOffsetAngle_02	MinIntervalTime	MaxIntervalTime	FindCoinRange	SelectTargetWeight_01	SelectTargetWeight_02	SelectTargetWeight_03	FirstActivateAI	SummonNpcPosX	SummonNpcPosZ	SummonNpcDir	SummonNpcAIFirstPointId	SummonNpcId_01	SummonNpcId_02	SummonNpcId_03	AttackRange	AddHpPercent	AddHpDeltaTime
INT	STRING	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	BOOL	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	FLOAT	FLOAT	INT
#MAX_ID=1000;MAX_RECORD=1000;TableType=Hash;																												
#本行程序不读 技能ID	描述(程序不读)	战斗类型(1：新手战场_抢金币 2：竞技_废弃 3：冒险_废弃 4：练习_废弃 5:娱乐战场_抢金币)	AI类型(1:空中花园通用 2:竞技通用(弃用) 3:冒险通用(弃用) 4:火烈岛通用 5:NPC通用 6:NPC战斗)	AI的战斗范围	AI触发【逃跑】行为：判断队伍的剩余人数	逃跑最近距离	逃跑最远距离	AI触发【躲避】行为：判断距离锁定目标的技能激活的最小时间（毫秒）	AI进行【躲避】行为的持续时间(毫秒)	AI释放技能行为：技能释放时的偏差角度最小值	AI释放技能行为：技能释放时的偏差角度最大值	触发AI行为的时间间隔(毫秒)最小值	触发AI行为的时间间隔(毫秒)最大值	AI搜索战场金币：锁定金币的范围	AI索敌优先级：【锁定成员最少的队伍】权重	AI索敌优先级：【锁定距离最近的队伍】权重	AI索敌优先级：【锁定金币数量最多的队伍】权重	出生之后是否立即触发AI	召唤Npc出生点x坐标	召唤Npc出生点z坐标	召唤Npc朝向	召唤Npc寻路路径点初始点Id	召唤NpcId_01	召唤NpcId_02	召唤NpcId_03	NPC AI触发攻击行为的距离	NPC返回时每次加血百分比(0.1表示10%)	NPC加血间隔时间(毫秒)
#此行必须有!!客户端确定是否需要读到内存	规则为填写S则不读，否则就会读取到客户端																											
10001	新手战场_玩家角色_独眼猪	1	1	25	1	3	5	300	1500	-30	30	-1	-1	30	50	20	50	0	0	0	0	0	-1	-1	-1	0	0	0
10002	新手战场_玩家角色_杰克羊	1	1	25	1	3	5	300	1500	-30	30	-1	-1	30	50	20	50	0	0	0	0	0	-1	-1	-1	0	0	0
10003	新手战场_玩家角色_塞拉炯	1	1	25	1	3	5	300	1500	-30	30	-1	-1	30	50	20	50	0	0	0	0	0	-1	-1	-1	0	0	0
10004	新手战场_玩家角色_忍者鼠	1	1	25	1	3	5	300	1500	-30	30	-1	-1	30	50	20	50	0	0	0	0	0	-1	-1	-1	0	0	0
10005	新手战场_玩家角色_安娜兔	1	1	25	1	3	5	300	1500	-30	30	-1	-1	30	50	20	50	0	0	0	0	0	-1	-1	-1	0	0	0
10006	新手战场_玩家角色_韩国兔	1	1	25	1	3	5	300	1500	-30	30	-1	-1	30	50	20	50	0	0	0	0	0	-1	-1	-1	0	0	0
10007	新手战场_玩家角色_美团袋鼠	1	1	25	1	3	5	300	1500	-30	30	-1	-1	30	50	20	50	0	0	0	0	0	-1	-1	-1	0	0	0
10008	新手战场_玩家角色_天猫	1	1	25	1	3	5	300	1500	-30	30	-1	-1	30	50	20	50	0	0	0	0	0	-1	-1	-1	0	0	0
10101	新手战场_普通NPC_金币旷工小	1	5	-1	-1	0	0	-1	-1	-1	-1	5000	20000	-1	-1	-1	-1	1	0	0	0	0	-1	-1	-1	0	0	0
10102	新手战场_普通NPC_金币旷工中	1	5	-1	-1	0	0	-1	-1	-1	-1	20000	40000	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	0	0	0
10103	新手战场_普通NPC_金币旷工大	1	5	-1	-1	0	0	-1	-1	-1	-1	30000	60000	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	0	0	0
10104	新手战场_木桩NPC_木桩AI	1	5	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	0	0	0
10105	新手战场_守卫NPC_守卫AI	1	6	25	-1	0	0	-1	-1	-1	-1	3000	3000	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	3.5	0.35	1000
20001	娱乐战场_玩家角色_独眼猪	5	4	25	1	3	5	300	1500	-30	30	-1	-1	30	50	20	50	0	0	0	0	0	-1	-1	-1	0	0	0
20002	娱乐战场_玩家角色_杰克羊	5	4	25	1	3	5	300	1500	-30	30	-1	-1	30	50	20	50	0	0	0	0	0	-1	-1	-1	0	0	0
20003	娱乐战场_玩家角色_塞拉炯	5	4	25	1	3	5	300	1500	-30	30	-1	-1	30	50	20	50	0	0	0	0	0	-1	-1	-1	0	0	0
20004	娱乐战场_玩家角色_忍者鼠	5	4	25	1	3	5	300	1500	-30	30	-1	-1	30	50	20	50	0	0	0	0	0	-1	-1	-1	0	0	0
20005	娱乐战场_玩家角色_安娜兔	5	4	25	1	3	5	300	1500	-30	30	-1	-1	30	50	20	50	0	0	0	0	0	-1	-1	-1	0	0	0
20006	娱乐战场_玩家角色_韩国兔	5	4	25	1	3	5	300	1500	-30	30	-1	-1	30	50	20	50	0	0	0	0	0	-1	-1	-1	0	0	0
