Id	Desc	BattleType	EventType	IsOnceEvent	ActivateTime	ReActivateCDTime	AffectCDTime	ActivatePointType	PointSubType	Param1	Param2	PoolRate	FinishTime	CanBreakPoolEvents	NotifyAdvanceTipId	NotifyAdvanceTime	NotifyOpenTipId	NotifyCloseTipId	BGMId
INT	STRING	INT	INT	BOOL	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	BOOL	INT	INT	INT	INT	INT
#MAX_ID=4999;MAX_RECORD=5000;TableType=Hash;																			
#唯一标示	描述，策划维护，此列程序不读	战斗类型(1：新手战场_抢金币 2：竞技_废弃 3：冒险_废弃 4：练习_废弃 5:娱乐战场_抢金币 6：天赋测试)	事件类型（0:操作解禁 1:战场开启 2：占据点刷新（废弃） 3：占据点解禁（废弃） 4：刷新玩家小队 5：刷新战场投掷物 6：刷新补血点（废弃） 7：刷新图腾（废弃） 8：刷新战场Npc 9：更改速度（废弃） 10：刷新【战场事件池】中的事件）11：生成安全区域 12：安全区塌陷 13：生成底座	是否是一次性事件	事件激活时间（毫秒）（-1不自动创建）	事件再次激活的冷却时间（毫秒）（-1无CD）	事件作用的冷却时间（毫秒）（-1无CD）_废弃	激活点类型（0:Buff点 1:玩家出生点 2：战场占据点 3：战场投掷物创建点 4：战场补血点 5：战场图腾点 6：战场npc出生点 7：小金币生成点 8：中金币生成点 9：大金币生成点 10：安全区中心点 11：安全区复活点 12：底座	激活点子类型，用于区分同一事件下不同类型的点，【NPC】：1-事件NPC（劫掠时刻）“金矿车”出生点 2-事件NPC（追逐时刻）“夺金BOSS”出生点 3-事件NPC（逃亡时刻）“终极BOSS”出生点）4-事件NPC“货船” 【投掷物】：1-黄金钱罐 5-野怪1人组 6-野怪2人组 7-野怪3人组 8-野怪7人组	参数（阻挡打开：动画Id 更改速度：速度基础值 安全区域：初始半径 安全区塌陷：最终时间）	参数2（安全区塌陷：最小半径）	【战场事件池】中的事件权重比(为0表示不加入战场事件池)	结束刷新【战场事件池】中的事件的时间	事件激活时是否会强制中断【战场事件池】中的事件，并且结束【战场事件池】的刷新	事件开启前的通知文本Id	事件开启倒计时(毫秒)	事件进行状态（进行中）文本id	事件进行状态（已结束）文本Id	事件背景音乐Id
#此行必须有!!客户端确定是否需要读到内存	规则为填写S则不读，否则就会读取到客户端																		
10001	新手战场_空中花园（抢金币）_战场初始化+操作解禁+云层拨开	1	0	1	3000	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	-1	-1
10002	新手战场_空中花园（抢金币）_战场正式开启	1	1	1	3000	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	-1	-1
10003	新手战场_空中花园（抢金币）_生成普通NPC“小金币旷工”	1	8	0	0	10000	-1	7	0	-1	-1	0	-1	0	-1	0	-1	-1	-1
10004	新手战场_空中花园（抢金币）_生成“玩家小队”	1	4	0	0	5000	-1	1	0	-1	-1	0	-1	0	-1	0	-1	-1	-1
10005	新手战场_空中花园（抢金币）_生成普通道具“战场投掷物”	1	5	0	5000	60000	-1	3	0	-1	-1	0	-1	0	-1	0	-1	-1	-1
10006	新手战场_空中花园（抢金币）_生成野怪NPC“木桩”慢组	1	8	0	30000	120000	-1	6	5	-1	-1	0	-1	0	-1	0	-1	-1	-1
