Id	Desc	BattleType	PointType	PointSubType	DataID	PosX	PosZ	FaceDirection	TeamType	AIFirstPointId	PointMode	GroupId
INT	STRING	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT
#MAX_ID=4999;MAX_RECORD=5000;TableType=Hash;												
#唯一标示	描述，策划维护，此列程序不读	战斗类型(1：新手战场_抢金币 2：竞技_废弃 3：冒险_废弃 4：练习_废弃 5:娱乐战场_抢金币 6 天赋测试)	激活点类型（0:Buff点 1:玩家出生点 2：战场占据点 3：战场投掷物创建点 4：战场补血点 5：战场图腾点 6：战场npc出生点 7：小金币生成点 8：中金币生成点 9：大金币生成点 10：安全区中心点 11：安全区复活点 12：底座	激活点子类型，用于区分同一类激活点下不同类型的实例，0为默认【NPC】：1-事件NPC（劫掠时刻）“金矿车”出生点 2-事件NPC（追逐时刻）“夺金BOSS”出生点 3-事件NPC（逃亡时刻）“终极BOSS”出生点）4-事件NPC“货船”  5-1个野怪“木桩” 6-2个野怪 7-3个野怪 8-7个野怪【投掷物】：1-黄金钱罐	战场点的属性ID（根据点的类型从各自对应的表中读取）	位置X	位置Z	朝向(弧度数值)	归属的阵营类型(-1:其他0:一队 1：二队 2:三队 3：四队 4：五队 5：六队)	AI巡逻路径的初始点ID	激活点模式(目前仅玩家出生点生效)（0：通用 1：混战 2：双方 3：三方 4：四方 5：五方 6：六方）	群体ID，目前仅对NPC生效
#此行必须有!!客户端确定是否需要读到内存	规则为填写S则不读，否则就会读取到客户端											
#101001	新手战场（空中花园_抢金币）_持续补血区域	1	0	0	10001	-1.4	-2.44	0	-1	-1	0	-1
102001	新手战场（空中花园_抢金币）_玩家小队出生点001	1	1	0	10001	-0.12	34.79	80.31058	-1	-1	1	-1
102002	新手战场（空中花园_抢金币）_玩家小队出生点002	1	1	0	10001	29.75219	17.20226	326.2503	-1	-1	1	-1
102003	新手战场（空中花园_抢金币）_玩家小队出生点003	1	1	0	10001	29.6349	-17.22372	30.17427	-1	-1	1	-1
102004	新手战场（空中花园_抢金币）_玩家小队出生点004	1	1	0	10001	-0.11	-35.01	275.9273	-1	-1	1	-1
102005	新手战场（空中花园_抢金币）_玩家小队出生点005	1	1	0	10001	-30.02429	16.97478	275.5551	-1	-1	1	-1
102006	新手战场（空中花园_抢金币）_玩家小队出生点006	1	1	0	10001	-30.42	-17.66	103.2458	-1	-1	1	-1
#102007	新手战场（空中花园_抢金币）_玩家小队出生点007	1	1	0	10001	0	-60	0	-1	-1	1	-1
#102008	新手战场（空中花园_抢金币）_玩家小队出生点008	1	1	0	10001	60	0	0	-1	-1	1	-1
#102006	新手战场（空中花园_抢金币）_玩家小队出生点009	1	1	0	10001	-60	0	0	-1	-1	1	-1
#102007	新手战场（空中花园_抢金币）_玩家小队出生点010	1	1	0	10001	0	60	0	-1	-1	1	-1
102101	新手战场（空中花园_抢金币）_三方_蓝队玩家小队出生点001	1	1	0	10001	1.48	34.04	143.9174	0	-1	3	-1
102102	新手战场（空中花园_抢金币）_三方_蓝队玩家小队出生点002	1	1	0	10001	-1.15	33.71	217.7149	0	-1	3	-1
102104	新手战场（空中花园_抢金币）_三方_红队玩家小队出生点001	1	1	0	10001	31.08	-18.76	158.5494	1	-1	3	-1
102105	新手战场（空中花园_抢金币）_三方_红队玩家小队出生点002	1	1	0	10001	28.47	-18.79	235.6272	1	-1	3	-1
102107	新手战场（空中花园_抢金币）_三方_黄队玩家小队出生点001	1	1	0	10001	-29.28	-18.52	103.2458	2	-1	3	-1
102108	新手战场（空中花园_抢金币）_三方_黄队玩家小队出生点002	1	1	0	10001	-30.78	-18.11	240.7943	2	-1	3	-1
#103001	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点001	1	7	0	100001	39.87	-11.11	0	-1	-1	0	-1
#103002	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点002	1	7	0	100001	-33.8	-26.78	0	-1	-1	0	-1
#103003	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点003	1	7	0	100001	-23.86	-26.78	0	-1	-1	0	-1
103004	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点004	1	8	0	100002	-23.02	-27.93	0	-1	-1	0	-1
103005	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点005	1	7	0	100001	-12.89	-45.76	0	-1	-1	0	-1
103006	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点006	1	7	0	100001	-8.76	-50.78	0	-1	-1	0	-1
103007	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点007	1	7	0	100001	-23.4	-36	0	-1	-1	0	-1
103008	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点008	1	8	0	100002	-50.5	-5.5	0	-1	-1	0	-1
103009	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点009	1	7	0	100001	9.57	-49.31	0	-1	-1	0	-1
103010	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点010	1	7	0	100001	41.9	-17.58	0	-1	-1	0	-1
103011	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点011	1	7	0	100001	45.58	-8.47	0	-1	-1	0	-1
103012	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点012	1	7	0	100001	14.3	47.6	0	-1	-1	0	-1
103013	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点013	1	7	0	100001	-41	-15.8	0	-1	-1	0	-1
103014	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点014	1	7	0	100001	24.3	-33	0	-1	-1	0	-1
103015	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点015	1	7	0	100001	-19.3	20.6	0	-1	-1	0	-1
103016	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点016	1	8	0	100002	18	-18	0	-1	-1	0	-1
103017	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点017	1	7	0	100001	-37.02	-23.51	0	-1	-1	0	-1
103018	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点018	1	7	0	100001	25.8	-26.6	0	-1	-1	0	-1
103019	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点019	1	8	0	100002	-41	17.5	0	-1	-1	0	-1
103020	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点020	1	7	0	100001	40.23	-1	0	-1	-1	0	-1
103021	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点021	1	8	0	100002	-31.57	-28.9	0	-1	-1	0	-1
103022	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点022	1	7	0	100001	-12.8	48.3	0	-1	-1	0	-1
103023	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点023	1	7	0	100001	43.15	7.27	0	-1	-1	0	-1
103024	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点024	1	7	0	100001	40.32	13.31	0	-1	-1	0	-1
103025	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点025	1	8	0	100002	-43.2	7.9	0	-1	-1	0	-1
103026	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点026	1	7	0	100001	33.7	26.33	0	-1	-1	0	-1
103027	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点027	1	9	0	100003	-24.5	-1.6	0	-1	-1	0	-1
103028	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点028	1	7	0	100001	-34.9	1.9	0	-1	-1	0	-1
103029	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点029	1	7	0	100001	21.45	28.06	0	-1	-1	0	-1
103030	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点030	1	7	0	100001	18.07	18.43	0	-1	-1	0	-1
103031	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点031	1	7	0	100001	-17.5	-16.6	0	-1	-1	0	-1
103032	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点032	1	7	0	100001	21.85	3.97	0	-1	-1	0	-1
103033	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点033	1	7	0	100001	21.85	-4.26	0	-1	-1	0	-1
103034	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点034	1	7	0	100001	-24.9	27.9	0	-1	-1	0	-1
103035	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点035	1	7	0	100001	-40.7	-5.6	0	-1	-1	0	-1
103036	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点036	1	9	0	100003	0.41	3.32	0	-1	-1	0	-1
#103037	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点037	1	7	0	100001	0.41	12.71	0	-1	-1	0	-1
#103038	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点038	1	7	0	100001	3.89	21.06	0	-1	-1	0	-1
#103039	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点039	1	7	0	100001	-4.32	21.45	0	-1	-1	0	-1
#103040	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点040	1	7	0	100001	-0.74	27.36	0	-1	-1	0	-1
#103041	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点041	1	7	0	100001	-7.47	7.97	0	-1	-1	0	-1
#103042	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点042	1	7	0	100001	-7.47	-1.79	0	-1	-1	0	-1
#103043	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点043	1	7	0	100001	0.1	-6.2	0	-1	-1	0	-1
#103044	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点044	1	7	0	100001	7	-9.4	0	-1	-1	0	-1
#103045	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点045	1	7	0	100001	8.4	-23.04	0	-1	-1	0	-1
#103046	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点046	1	7	0	100001	2.47	-28.56	0	-1	-1	0	-1
#103047	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点047	1	7	0	100001	-2.66	-28.74	0	-1	-1	0	-1
#103048	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点048	1	7	0	100001	-0.13	-19.92	0	-1	-1	0	-1
#103049	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点049	1	7	0	100001	1.87	-15.28	0	-1	-1	0	-1
#103050	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点050	1	7	0	100001	-5.82	-10.16	0	-1	-1	0	-1
#103051	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点051	1	7	0	100001	-11.99	1.12	0	-1	-1	0	-1
#103052	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点052	1	7	0	100001	-22.63	4.57	0	-1	-1	0	-1
#103053	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点053	1	7	0	100001	-22.63	-4.89	0	-1	-1	0	-1
#103054	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点054	1	7	0	100001	-29.25	-0.26	0	-1	-1	0	-1
#103055	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点055	1	7	0	100001	-12.21	21.92	0	-1	-1	0	-1
#103056	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点056	1	7	0	100001	-17.88	18.75	0	-1	-1	0	-1
#103057	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点057	1	7	0	100001	-20.97	26.32	0	-1	-1	0	-1
#103058	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点058	1	7	0	100001	-14.48	36.72	0	-1	-1	0	-1
#103059	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点059	1	7	0	100001	-22.5	33.52	0	-1	-1	0	-1
#103060	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点060	1	7	0	100001	-13.01	45.73	0	-1	-1	0	-1
#103061	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点061	1	7	0	100001	-3.49	49.64	0	-1	-1	0	-1
#103062	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点062	1	7	0	100001	5.32	49.64	0	-1	-1	0	-1
#103063	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点063	1	7	0	100001	8.89	50.84	0	-1	-1	0	-1
#103064	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点064	1	7	0	100001	12.74	44.31	0	-1	-1	0	-1
#103065	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点065	1	7	0	100001	15.45	38.08	0	-1	-1	0	-1
#103066	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点066	1	7	0	100001	-9.04	51.19	0	-1	-1	0	-1
#103067	新手战场（空中花园_抢金币）_普通NPC“金币矿工”刷新点067	1	7	0	100001	-30.2	26.98	0	-1	-1	0	-1
